Name;Country;ProneAccuracy;StandingAccuracy;SkiSpeed;Stamina;Gender;Age
GAAL Dora;HUN;63.636;60.000;1.000;2.712;WOMEN;18
VITTOZZI Lisa;ITA;87.727;91.364;72.405;72.796;WOMEN;30
WIERER Dorothea;ITA;89.792;83.333;70.911;70.372;WOMEN;35
COMOLA Samuela;ITA;94.375;81.250;60.995;75.458;WOMEN;27
AUCHENTALLER Hannah;ITA;85.591;84.946;62.485;76.323;WOMEN;24
CARRARA Michela;ITA;79.020;66.667;72.725;73.651;WOMEN;28
PASSLER Rebecca;ITA;84.167;83.333;59.835;79.539;WOMEN;24
TRABUCCHI Martina;ITA;83.600;80.800;54.954;74.774;WOMEN;23
ZINGERLE Linda;ITA;85.227;66.136;55.067;74.747;JWOMEN;23
CARPELLA Fabiana;ITA;86.129;65.484;53.013;76.265;JWOMEN;21
GAUTERO Carlotta;ITA;87.692;83.077;42.968;75.541;JWOMEN;19
SCATTOLO Ilaria;ITA;91.034;73.448;50.643;68.705;JWOMEN;21
BROCCHIERO Francesca;ITA;90.000;81.250;42.793;70.686;JWOMEN;21
TRABUCCHI Beatrice;ITA;83.478;91.014;45.787;63.185;JWOMEN;25
PLOSCH Astrid;ITA;91.429;79.184;37.343;75.052;JWOMEN;21
MARIOTTI CAVAGNET Nayeli;ITA;82.609;92.174;37.397;70.832;JWOMEN;19
SCATTOLO Sara;ITA;83.810;72.857;51.635;62.330;JWOMEN;22
SCHOELZHORN Birgit;ITA;74.091;75.909;45.968;68.914;JWOMEN;22
HUTTER Eva;ITA;73.333;80.000;42.747;68.407;JWOMEN;19
ZARDINI Sophia;ITA;90.000;73.333;30.620;75.927;JWOMEN;21
CAVALLERA Iris;ITA;80.000;80.000;36.080;65.831;JWOMEN;17
PACCHIODI Alice;ITA;86.667;81.667;36.618;55.464;JWOMEN;21
MAESTRI Denise;ITA;68.000;84.000;21.432;65.257;JWOMEN;19
GIORDANO Matilde;ITA;60.000;60.000;36.851;62.608;JWOMEN;18
DEI CAS Rachele;ITA;66.667;60.000;24.318;74.430;JWOMEN;17
FORLIN Alessia;ITA;72.000;80.000;26.996;18.375;JWOMEN;20
TAKEUCHI Mikoto;JPN;78.824;85.882;22.188;68.046;WOMEN;21
FUKUDA Hikaru;JPN;74.118;70.588;27.003;58.768;WOMEN;26
SATO Aoi;JPN;62.222;53.333;32.064;68.361;JWOMEN;28
POLTORANINA Olga;KAZ;87.333;90.000;35.144;61.999;WOMEN;38
KLIMINA Darya;KAZ;76.923;76.923;43.453;71.884;WOMEN;36
GENEVA Milana;KAZ;78.095;80.000;35.190;66.726;WOMEN;21
SKRIPKINA Alina;KAZ;80.000;81.667;31.319;65.813;WOMEN;24
RAKISHEVA Aisha;KAZ;65.185;67.037;43.783;66.976;WOMEN;23
BELETSKAYA Yelizaveta;KAZ;86.154;72.308;23.206;66.873;JWOMEN;29
TITIYEVSKAYA Kristina;KAZ;90.000;75.000;26.459;57.005;JWOMEN;24
KRYUKOVA Arina;KAZ;83.750;76.250;33.562;46.876;JWOMEN;23
KINYBAYEVA Laura;KAZ;65.882;61.176;41.606;57.194;JWOMEN;24
CHSHEDRINA Nadezhda;KAZ;84.615;78.462;9.780;73.074;JWOMEN;19
YEGOROVA Polina;KAZ;86.667;70.000;29.000;50.771;JWOMEN;24
RYBALKINA Evelina;KAZ;92.000;92.000;1.000;61.627;JWOMEN;19
MEZENTSEVA Evelina;KAZ;70.256;68.205;19.463;68.775;JWOMEN;19
KHVOCHSHENOK Anastassiya;KAZ;70.000;46.667;31.394;59.305;JWOMEN;20
POLDYAYEVA Mariya;KAZ;86.667;79.259;13.133;49.744;JWOMEN;21
VOROBYEVA Mariya;KAZ;67.500;60.000;5.341;73.025;JWOMEN;19
KUANYSHBEKOVA Adima;KAZ;80.714;70.714;20.473;30.834;JWOMEN;22
UNZHAKOVA Sofya;KAZ;72.000;56.000;1.000;59.896;JWOMEN;20
MUSSOKHRANOVA Yekaterina;KAZ;56.000;80.000;1.000;48.910;JWOMEN;20
MIRONOVA Valeriya;KAZ;56.471;68.235;11.221;40.311;JWOMEN;20
CHUPIK Yana;KAZ;40.000;80.000;1.000;34.046;JWOMEN;21
AVVAKUMOVA Ekaterina;KOR;85.714;86.032;46.042;72.896;WOMEN;35
ABE Mariya;KOR;80.667;81.333;21.166;77.208;WOMEN;26
JUNG Jumi;KOR;75.625;74.375;25.505;74.708;WOMEN;28
KO Eunjung;KOR;79.000;79.000;14.908;76.428;WOMEN;29
HAM Haeyeong;KOR;93.333;80.000;6.659;75.993;JWOMEN;31
CHOI Yoonah;KOR;70.000;70.000;18.541;70.514;JWOMEN;23
LEE Hyunju;KOR;95.000;65.000;2.188;59.154;JWOMEN;24
CHEON Suji;KOR;56.000;68.000;1.000;19.226;JWOMEN;20
VOLFA Estere;LAT;88.448;77.759;67.758;72.171;WOMEN;20
BENDIKA Baiba;LAT;77.818;68.909;67.977;75.424;WOMEN;34
BULINA Sanita;LAT;76.944;76.111;55.349;69.346;WOMEN;24
BULINA Sandra;LAT;83.673;82.857;43.943;72.634;WOMEN;24
SABULE Annija;LAT;88.475;81.017;42.472;69.601;WOMEN;28
BLEIDELE Elza;LAT;69.315;71.781;46.974;76.581;JWOMEN;20
DJATKOVICA Martine;LAT;83.750;78.750;20.333;73.368;JWOMEN;17
ALZINA Laura;LAT;90.000;77.143;6.336;62.020;JWOMEN;17
KOLNA Keita;LAT;86.667;88.889;1.000;46.102;JWOMEN;18
KALNINA Enia;LAT;83.478;58.261;4.771;74.910;JWOMEN;20
BORONENKO Jelizaveta;LAT;60.000;48.333;6.451;66.370;JWOMEN;15
TRAUBAITE Judita;LTU;78.400;80.533;49.998;73.865;WOMEN;25
ZHURAUSKAITE Lidiia;LTU;87.719;74.035;52.210;57.206;WOMEN;26
KOCERGINA Natalja;LTU;64.667;70.000;42.569;62.253;WOMEN;40
URUMOVA Sara;LTU;78.776;75.102;22.629;65.390;WOMEN;24
DAUGIRDAITE Lukrecija;LTU;72.258;70.323;4.915;58.108;WOMEN;21
MOTIEJUNAITE Rusne;LTU;68.889;71.111;1.000;21.066;JWOMEN;18
AUGULYTE Viktorija;LTU;85.185;70.370;1.000;14.503;JWOMEN;22
STREMOUS Alina;MDA;86.849;87.671;65.002;68.317;WOMEN;30
MAKAROVA Aliona;MDA;78.966;74.828;35.372;69.188;WOMEN;31
HLUSOVICI Elizaveta;MDA;66.842;70.526;1.000;52.932;WOMEN;18
MUNKHBAT Doljinsuren;MGL;71.429;74.286;8.229;72.812;WOMEN;24
KHASH-ERDENE Erdenetungalag;MGL;62.857;71.429;1.000;15.637;WOMEN;19
DAVAADULAM Enkhchimeg;MGL;63.333;60.000;1.000;6.190;JWOMEN;25
KHURLEE Sumiya;MGL;72.000;52.000;1.000;4.309;JWOMEN;20
KIRKEEIDE Maren;NOR;82.388;86.866;76.310;77.520;WOMEN;22
LIEN Ida;NOR;92.222;66.111;74.873;82.885;WOMEN;28
JOHANSEN Marthe Krakstad;NOR;94.667;86.857;62.870;76.894;WOMEN;26
KNOTTEN Karoline Offigstad;NOR;89.107;81.250;66.485;81.269;WOMEN;30
TANDREVOLD Ingrid Landmark;NOR;88.000;66.000;74.262;77.837;WOMEN;29
RANDBY Gro;NOR;86.939;60.408;73.001;78.418;WOMEN;23
SKAR Siri;NOR;88.205;83.590;59.935;73.840;WOMEN;22
ARNEKLEIV Juni;NOR;90.118;72.706;64.649;66.439;WOMEN;26
DOKKEN Frida;NOR;86.452;85.806;57.000;67.451;JWOMEN;24
KALKENBERG Emilie Aagheim;NOR;87.200;77.200;54.616;75.773;JWOMEN;28
BERG-KNUTSEN Silje;NOR;81.333;85.333;49.693;80.331;JWOMEN;20
ERDAL Karoline;NOR;84.259;67.407;64.565;69.838;JWOMEN;28
OEYGARD Marit;NOR;95.500;83.000;53.804;64.677;JWOMEN;26
FEMSTEINEVIK Ragnhild;NOR;76.842;78.684;57.944;74.177;JWOMEN;30
OWREN Synne;NOR;86.897;76.552;54.862;72.354;JWOMEN;24
YTTERHUS Guro;NOR;86.977;65.581;61.666;69.738;JWOMEN;21
SKREDE Aasne;NOR;80.000;66.957;62.358;71.240;JWOMEN;25
FODSTAD Ragna;NOR;86.154;67.692;57.349;72.289;JWOMEN;21
SKOGAN Marit Ishol;NOR;84.286;80.714;48.370;71.498;JWOMEN;27
GRUE Eline;NOR;88.571;85.714;41.655;72.394;JWOMEN;29
TORSTEINSRUD Mari;NOR;70.000;80.000;51.545;73.339;JWOMEN;24
BRATHAGEN Agathe;NOR;84.000;80.000;46.834;67.718;JWOMEN;20
AALAND Ann Kristin;NOR;90.000;95.000;36.213;67.224;JWOMEN;21
DAHL Frida;NOR;84.000;56.000;50.927;66.305;JWOMEN;27
KVELVANE Julie;NOR;76.000;84.000;37.129;64.229;JWOMEN;19
